Thu Jun 26 16:04:11 2014    classes_transform.stats

         6437059 function calls (5945724 primitive calls) in 24.335 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
45996/15332    0.048    0.000    0.052    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:445(scope)
     4064    0.010    0.000    0.051    0.000 c:\Python26\lib\xml\sax\expatreader.py:300(start_element)
    46666    0.051    0.000    0.051    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:262(__init__)
    13427    0.038    0.000    0.048    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:88(__init__)
      385    0.048    0.000    0.048    0.000 {open}
     4064    0.025    0.000    0.040    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:32(startElement)
    15332    0.018    0.000    0.036    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:65(_get_filtered_stmts)
      188    0.000    0.000    0.032    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:37(visit_ClassDef)
    15332    0.025    0.000    0.032    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:46(__getattr__)
      449    0.002    0.000    0.027    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:46(visit_Assign)
   108405    0.025    0.000    0.025    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:115(frame)
    17106    0.016    0.000    0.023    0.000 c:\Python26\lib\ntpath.py:55(isabs)
    63782    0.022    0.000    0.022    0.000 {method 'get' of 'dict' objects}
    55058    0.022    0.000    0.022    0.000 {method 'lower' of 'str' objects}
    13427    0.017    0.000    0.022    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:304(cache_module)
    64155    0.021    0.000    0.021    0.000 {method 'add' of 'set' objects}
    15332    0.014    0.000    0.018    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:78(ass_type)
      411    0.003    0.000    0.017    0.000 c:\Python26\lib\profilehooks.py:233(new_fn)
     1112    0.010    0.000    0.017    0.000 {method 'update' of 'set' objects}
    15332    0.017    0.000    0.017    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:212(assend_assigned_stmts)
      411    0.003    0.000    0.015    0.000 c:\Python26\lib\profilehooks.py:326(__call__)
    15332    0.015    0.000    0.015    0.000 {method 'index' of 'list' objects}
      544    0.007    0.000    0.012    0.000 c:\Python26\lib\xml\sax\expatreader.py:244(reset)
     8867    0.006    0.000    0.011    0.000 c:\Python26\lib\ast.py:151(iter_fields)
      272    0.001    0.000    0.011    0.000 c:\Python26\lib\xml\sax\__init__.py:71(make_parser)
    13427    0.010    0.000    0.010    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\raw_building.py:210(__init__)
    13016    0.010    0.000    0.010    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:171(__getitem__)
    15332    0.010    0.000    0.010    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:42(__init__)
      272    0.002    0.000    0.010    0.000 c:\Python26\lib\xml\sax\__init__.py:104(_create_parser)
      113    0.010    0.000    0.010    0.000 {method 'splitlines' of 'str' objects}
     7764    0.006    0.000    0.009    0.000 c:\Python26\lib\xml\sax\xmlreader.py:327(get)
      278    0.009    0.000    0.009    0.000 {sorted}
    13427    0.009    0.000    0.009    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:25(modules_transform)
    30664    0.008    0.000    0.008    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:565(_infer_name)
     1292    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
    15332    0.008    0.000    0.008    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:453(__init__)
    30664    0.008    0.000    0.008    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:53(infer)
      820    0.007    0.000    0.007    0.000 {method 'join' of 'str' objects}
     4064    0.003    0.000    0.007    0.000 ..\Modules\pyexpat.c:656(EndElement)
    17106    0.007    0.000    0.007    0.000 c:\Python26\lib\ntpath.py:122(splitdrive)
     1012    0.005    0.000    0.007    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:163(getModName)
     8572    0.005    0.000    0.007    0.000 ..\Modules\pyexpat.c:479(CharacterData)
      272    0.001    0.000    0.006    0.000 c:\Python26\lib\xml\sax\expatreader.py:404(create_parser)
      544    0.004    0.000    0.006    0.000 c:\Python26\lib\xml\sax\saxutils.py:276(prepare_input_source)
    25475    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
      272    0.002    0.000    0.005    0.000 c:\Python26\lib\xml\sax\expatreader.py:87(__init__)
      113    0.005    0.000    0.005    0.000 {method 'close' of 'file' objects}
    15332    0.005    0.000    0.005    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:582(has_base)
      272    0.004    0.000    0.005    0.000 c:\Python26\lib\xml\sax\expatreader.py:213(close)
     4064    0.004    0.000    0.005    0.000 c:\Python26\lib\xml\sax\expatreader.py:303(end_element)
      217    0.002    0.000    0.004    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:52(visit_Call)
    11661    0.004    0.000    0.004    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:155(<genexpr>)
    15332    0.004    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:62(ass_type)
    15332    0.004    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:120(scope)
      116    0.001    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:716(visit_return)
      544    0.003    0.000    0.003    0.000 {pyexpat.ParserCreate}
     4608    0.003    0.000    0.003    0.000 c:\Python26\lib\xml\sax\xmlreader.py:321(has_key)
      958    0.002    0.000    0.003    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:120(findPaths)
      272    0.001    0.000    0.003    0.000 c:\Python26\lib\xml\sax\xmlreader.py:111(__init__)
    17106    0.003    0.000    0.003    0.000 {len}
      411    0.002    0.000    0.002    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:761(__init__)
     1422    0.001    0.000    0.002    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:42(visit_FunctionDef)
      273    0.002    0.000    0.002    0.000 {__import__}
      272    0.002    0.000    0.002    0.000 c:\Python26\lib\xml\sax\xmlreader.py:24(__init__)
     4064    0.002    0.000    0.002    0.000 {method 'lower' of 'unicode' objects}
     4900    0.002    0.000    0.002    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:148(<genexpr>)
      272    0.001    0.000    0.002    0.000 c:\Python26\lib\xml\sax\expatreader.py:109(prepareParser)
      113    0.002    0.000    0.002    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:18(__init__)
     4064    0.002    0.000    0.002    0.000 c:\Python26\lib\xml\sax\xmlreader.py:278(__init__)
      272    0.001    0.000    0.002    0.000 c:\Python26\lib\xml\sax\expatreader.py:54(__init__)
     8572    0.002    0.000    0.002    0.000 c:\Python26\lib\xml\sax\handler.py:158(characters)
     1012    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      272    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\expatreader.py:115(setContentHandler)
      411    0.001    0.000    0.001    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:787(set_line_info)
      544    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\expatreader.py:223(_reset_cont_handler)
      649    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:33(visit_Name)
      272    0.001    0.000    0.001    0.000 {_weakref.proxy}
      272    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:25(__init__)
      203    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:64(subnodeVisit)
     2328    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 c:\Python26\lib\encodings\__init__.py:71(search_function)
     4064    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:48(endElement)
     1787    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      272    0.001    0.000    0.001    0.000 {built-in method SetBase}
     1202    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:147(<genexpr>)
      544    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\xmlreader.py:203(__init__)
     1168    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:154(<genexpr>)
      544    0.000    0.000    0.000    0.000 {built-in method SetParamEntityParsing}
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:132(setFeature)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:57(setDocumentLocator)
      816    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:253(getByteStream)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:38(setContentHandler)
      544    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:236(getEncoding)
      828    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:158(<genexpr>)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:80(startDocument)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:54(__init__)
      544    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:222(getSystemId)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:240(setByteStream)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:218(setSystemId)
      306    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      276    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:157(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\utf_8.py:8(<module>)
      272    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:87(endDocument)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\utf_8.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:828(basenames)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:591(as_string)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\__init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:76(__call__)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:397(accept)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\utf_8.py:18(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E1CE5A8}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\utf_8.py:22(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\utf_8.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:323(visit_name)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\encodings\utf_8.py:28(StreamReader)
        0    0.000             0.000          profile:0(profiler)


