Thu Jul 03 10:25:42 2014    11classes_transform.stats

         6735706 function calls (6214753 primitive calls) in 14.165 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
79705/31882    0.050    0.000    0.055    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:440(frame)
    43/37    0.003    0.000    0.050    0.001 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:92(getRecordInheritance)
    14077    0.047    0.000    0.047    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:248(__init__)
     9215    0.026    0.000    0.045    0.000 c:\Python26\lib\ntpath.py:63(join)
    31882    0.037    0.000    0.044    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:71(push)
    14077    0.042    0.000    0.042    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.041    0.020 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:81(buildRoutineModule)
        2    0.000    0.000    0.041    0.020 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:84(genericBuilder)
 5135/120    0.007    0.000    0.041    0.000 c:\Python26\lib\ast.py:227(visit)
   210527    0.040    0.000    0.040    0.000 {method 'setdefault' of 'dict' objects}
    14077    0.040    0.000    0.040    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:137(__init__)
      120    0.000    0.000    0.040    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:33(visit_Module)
 2726/120    0.003    0.000    0.040    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:29(generic_visit)
 2726/120    0.011    0.000    0.039    0.000 c:\Python26\lib\ast.py:233(generic_visit)
    63764    0.038    0.000    0.038    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:62(__init__)
     3858    0.002    0.000    0.037    0.000 ..\Modules\pyexpat.c:604(StartElement)
47823/15941    0.033    0.000    0.036    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:445(scope)
    14077    0.035    0.000    0.035    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\brain\py2stdlib.py:21(transform)
     3858    0.007    0.000    0.035    0.000 c:\Python26\lib\xml\sax\expatreader.py:300(start_element)
    31882    0.034    0.000    0.034    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:367(infer)
    49274    0.033    0.000    0.033    0.000 {method 'pop' of 'list' objects}
      370    0.030    0.000    0.030    0.000 {open}
    14077    0.022    0.000    0.029    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:88(__init__)
     3858    0.017    0.000    0.027    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\parse.py:32(startElement)
    15941    0.012    0.000    0.024    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:65(_get_filtered_stmts)
    15941    0.017    0.000    0.020    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:46(__getattr__)
      620    0.020    0.000    0.020    0.000 {method 'read' of 'file' objects}
      203    0.000    0.000    0.019    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:40(visit_ClassDef)
   113038    0.017    0.000    0.017    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:115(frame)
    17975    0.011    0.000    0.017    0.000 c:\Python26\lib\ntpath.py:55(isabs)
      462    0.001    0.000    0.016    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:49(visit_Assign)
    65369    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
    14077    0.011    0.000    0.014    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:304(cache_module)
    15941    0.011    0.000    0.014    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:78(ass_type)
     1180    0.007    0.000    0.012    0.000 {method 'update' of 'set' objects}
    66498    0.012    0.000    0.012    0.000 {method 'add' of 'set' objects}
    57722    0.011    0.000    0.011    0.000 {method 'lower' of 'str' objects}
    15941    0.009    0.000    0.009    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:212(assend_assigned_stmts)
      500    0.005    0.000    0.008    0.000 c:\Python26\lib\xml\sax\expatreader.py:244(reset)
    15941    0.008    0.000    0.008    0.000 {method 'index' of 'list' objects}
    14077    0.007    0.000    0.007    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\raw_building.py:210(__init__)
      292    0.007    0.000    0.007    0.000 {sorted}
    13647    0.007    0.000    0.007    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:171(__getitem__)
