Thu Jul 03 14:47:38 2014    6modules_transform.stats

         2914781 function calls (2562177 primitive calls) in 5.836 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.007    0.000    0.048    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:124(getFullPaths)
     3573    0.029    0.000    0.045    0.000 c:\Python26\lib\ntpath.py:398(normpath)
84063/30676    0.040    0.000    0.040    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:434(statement)
    15156    0.012    0.000    0.040    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:250(arguments_assigned_stmts)
    22935    0.026    0.000    0.038    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:77(clone)
      257    0.001    0.000    0.033    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:422(visit_discard)
   119311    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
     7274    0.019    0.000    0.033    0.000 c:\Python26\lib\ntpath.py:63(join)
     7625    0.025    0.000    0.031    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:53(are_exclusive)
    15156    0.022    0.000    0.028    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:218(_arguments_infer_argname)
38684/15462    0.025    0.000    0.028    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:440(frame)
    17952    0.016    0.000    0.025    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:93(_init_set_doc)
    17350    0.025    0.000    0.025    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:553(set_line_info)
    44/32    0.000    0.000    0.024    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:477(visit_for)
       10    0.001    0.000    0.022    0.002 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:5(parseScript)
    15301    0.018    0.000    0.021    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:71(push)
       31    0.000    0.000    0.019    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:767(visit_tryexcept)
     3573    0.019    0.000    0.019    0.000 {nt._getfullpathname}
    30543    0.019    0.000    0.019    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:62(__init__)
23059/7663    0.016    0.000    0.018    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:445(scope)
15331/15330    0.017    0.000    0.017    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:367(infer)
       10    0.000    0.000    0.017    0.002 c:\Python26\lib\ast.py:32(parse)
      274    0.001    0.000    0.016    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:716(visit_return)
      862    0.003    0.000    0.016    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\__init__.py:87(__call__)
      980    0.006    0.000    0.016    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:591(as_string)
    78273    0.016    0.000    0.016    0.000 {method 'setdefault' of 'dict' objects}
       18    0.000    0.000    0.015    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:50(wrapper)
        6    0.000    0.000    0.014    0.002 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:307(igetattr)
       16    0.000    0.000    0.014    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:285(getattr)
    14116    0.008    0.000    0.012    0.000 c:\Python26\lib\ntpath.py:55(isabs)
