Thu Jun 26 15:18:14 2014    buildRecordModule.stats

         6426330 function calls (5935708 primitive calls) in 20.287 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    0.000    0.000    0.055    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:30(visit_Module)
 2577/110    0.004    0.000    0.054    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:26(generic_visit)
 2577/110    0.015    0.000    0.054    0.000 c:\Python26\lib\ast.py:233(generic_visit)
    13426    0.053    0.000    0.053    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\brain\py2stdlib.py:21(transform)
     4053    0.003    0.000    0.050    0.000 ..\Modules\pyexpat.c:604(StartElement)
45972/15324    0.045    0.000    0.049    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:445(scope)
     4053    0.009    0.000    0.047    0.000 c:\Python26\lib\xml\sax\expatreader.py:300(start_element)
      381    0.043    0.000    0.043    0.000 {open}
    13426    0.031    0.000    0.042    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:88(__init__)
     4053    0.024    0.000    0.037    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:32(startElement)
    15324    0.019    0.000    0.036    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:65(_get_filtered_stmts)
    15324    0.030    0.000    0.036    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:46(__getattr__)
      185    0.000    0.000    0.028    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:37(visit_ClassDef)
      652    0.027    0.000    0.027    0.000 {method 'read' of 'file' objects}
      449    0.002    0.000    0.025    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:46(visit_Assign)
   108364    0.022    0.000    0.022    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:115(frame)
    16982    0.015    0.000    0.022    0.000 c:\Python26\lib\ntpath.py:55(isabs)
    64049    0.020    0.000    0.020    0.000 {method 'add' of 'set' objects}
    63530    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
    13426    0.015    0.000    0.019    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:304(cache_module)
    15324    0.013    0.000    0.017    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:78(ass_type)
    55050    0.016    0.000    0.016    0.000 {method 'lower' of 'str' objects}
     1106    0.009    0.000    0.015    0.000 {method 'update' of 'set' objects}
    15324    0.013    0.000    0.013    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:212(assend_assigned_stmts)
    15324    0.013    0.000    0.013    0.000 {method 'index' of 'list' objects}
      410    0.003    0.000    0.012    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:9(classes_transform)
      542    0.007    0.000    0.012    0.000 c:\Python26\lib\xml\sax\expatreader.py:244(reset)
